Time,Pubs,Citations,Salary
3,18,50,51.876
6,3,26,54.511
3,2,50,53.425
8,17,34,61.863
9,11,41,52.926
6,6,37,47.034
16,38,48,66.432
10,48,56,61.1
2,9,19,41.934
5,22,29,47.454
5,30,28,49.832
6,21,31,47.047
7,10,25,39.115
11,27,40,59.677
18,37,61,61.458
6,8,32,54.528
9,13,36,60.327
7,6,69,56.6
7,12,47,52.542
3,29,29,50.455
7,29,35,51.647
5,7,35,62.895
7,6,18,53.74
13,69,90,75.822
5,11,60,56.596
8,9,30,55.682
8,20,27,62.091
7,41,35,42.162
2,3,14,52.646
13,27,56,74.199
5,14,50,50.729
3,23,25,70.011
1,1,35,37.939
3,7,1,39.652
9,19,69,68.987
3,11,69,55.579
9,31,27,54.671
3,9,50,57.704
4,12,32,44.045
10,32,33,51.122
1,26,45,47.082
11,12,54,60.009
5,9,47,58.632
1,6,29,38.34
21,39,69,71.219
7,16,47,53.712
5,12,43,54.782
16,50,55,83.503
5,18,33,47.212
4,16,28,52.84
5,5,42,53.65
11,20,24,50.931
16,50,31,66.784
3,6,27,49.751
4,19,83,74.343
4,11,49,57.71
5,13,14,52.676
6,3,36,41.195
4,8,34,45.662
8,11,70,47.606
3,25,27,44.301
4,4,28,58.582
